id,brand,name,format,style,mg,type,sokstrang
catch-apple-slim-white,Catch,Apple Slim White,Slim,White,"6,8 mg/prilla · 8,5 mg/g",tobak,Catch Apple Slim White
catch-eucalyptus-white-mini,Catch,Eucalyptus White Mini,Mini,White,"3,6 mg/prilla · 8,5 mg/g",tobak,Catch Eucalyptus White Mini
catch-licorice-original-mini,Catch,Licorice Original Mini,Mini,Original,"4,2 mg/prilla · 8 mg/g",tobak,Catch Licorice Original Mini
catch-licorice-white-mini,Catch,Licorice White Mini,Mini,White,"3,6 mg/prilla · 8,5 mg/g",tobak,Catch Licorice White Mini
catch-passion-white-mini,Catch,Passion White Mini,Mini,White,"3,6 mg/prilla · 8,5 mg/g",tobak,Catch Passion White Mini
catch-peach-slim-white-strong,Catch,Peach Slim White Strong,Slim,White,"10,8 mg/prilla · 13,5 mg/g",tobak,Catch Peach Slim White Strong
catch-peppermint-slim-white,Catch,Peppermint Slim White,Slim,White,"7,2 mg/prilla · 9 mg/g",tobak,Catch Peppermint Slim White
catch-spearmint-white-mini,Catch,Spearmint White Mini,Mini,White,4 mg/prilla · 8 mg/g,tobak,Catch Spearmint White Mini
ettan-portion,Ettan,Portion,Large,Original,8 mg/prilla · 8 mg/g,tobak,Ettan Portion
ettan-white-portion,Ettan,White Portion,Large,White,"7,7 mg/prilla · 8,6 mg/g",tobak,Ettan White Portion
g-3-g3-blue-mint-extra-stark,G.3,G3 Blue Mint Extra Stark,Slim,Original,18 mg/prilla · 26 mg/g,tobak,G.3 G3 Blue Mint Extra Stark
g-3-g3-blue-mint-stark-superslim,G.3,G3 Blue Mint Stark Superslim,Superslim,Original,"9,6 mg/prilla · 18 mg/g",tobak,G.3 G3 Blue Mint Stark Superslim
g-3-g3-extra-strong-slim,G.3,G3 Extra Strong Slim,Slim,Original,18 mg/prilla · 20 mg/g,tobak,G.3 G3 Extra Strong Slim
g-3-g3-extra-strong-slim-white,G.3,G3 Extra Strong Slim White,Slim,White,"16,2 mg/prilla · 18 mg/g",tobak,G.3 G3 Extra Strong Slim White
g-3-g3-load-super-strong-slim-white-dry,G.3,G3 LOAD Super Strong Slim White Dry,Slim,White,18 mg/prilla · 26 mg/g,tobak,G.3 G3 LOAD Super Strong Slim White Dry
g-3-g3-original-stark-slim-portionssnus,G.3,G3 Original Stark Slim Portionssnus,Slim,Original,"13,5 mg/prilla · 15 mg/g",tobak,G.3 G3 Original Stark Slim Portionssnus
g-3-g3-pow-super-strong-slim-white-dry,G.3,G3 POW Super Strong Slim White Dry,Slim,White,18 mg/prilla · 26 mg/g,tobak,G.3 G3 POW Super Strong Slim White Dry
g-3-g3-strong-superslim-white,G.3,G3 Strong Superslim White,Superslim,White,"9,6 mg/prilla · 18 mg/g",tobak,G.3 G3 Strong Superslim White
g-3-g3-t-n-t-extra-stark-slim-white-portionssnus,G.3,G3 T.N.T Extra Stark Slim White Portionssnus,Slim,White,18 mg/prilla · 26 mg/g,tobak,G.3 G3 T.N.T Extra Stark Slim White Portionssnus
g-3-g3-wire-super-strong-slim-white-dry,G.3,G3 WIRE Super Strong Slim White Dry,Slim,White,18 mg/prilla · 26 mg/g,tobak,G.3 G3 WIRE Super Strong Slim White Dry
g-3-rize-blackcurrant,G.3,RIZE Blackcurrant,Slim,Original,"8,3 mg/prilla · 12 mg/g",tobak,G.3 RIZE Blackcurrant
g-3-wink-mint-superslim-strong-white,G.3,Wink Mint Superslim Strong White,Superslim,White,"9,6 mg/prilla · 18 mg/g",tobak,G.3 Wink Mint Superslim Strong White
general-extra-stark-portion,General,Extra Stark Portion,Large,Original,"15,4 mg/prilla · 14 mg/g",tobak,General Extra Stark Portion
general-mini,General,Mini,Mini,Original,"4,2 mg/prilla · 8 mg/g",tobak,General Mini
general-mini-white,General,Mini White,Mini,White,4 mg/prilla · 8 mg/g,tobak,General Mini White
general-one-svart-stark-portion,General,One Svart Stark Portion,Large,Original,"11,7 mg/prilla · 13 mg/g",tobak,General One Svart Stark Portion
general-one-white-portion,General,One White Portion,Large,White,13 mg/prilla · 13 mg/g,tobak,General One White Portion
general-original-portion,General,Original Portion,Large,Original,"8,5 mg/prilla · 8,5 mg/g",tobak,General Original Portion
general-original-portion-strong,General,Original Portion Strong,Large,Original,14 mg/prilla · 14 mg/g,tobak,General Original Portion Strong
general-slim-white,General,Slim White,Slim,White,"6,8 mg/prilla · 8,5 mg/g",tobak,General Slim White
general-slim-white-portion-strong,General,Slim White Portion Strong,Slim,White,"10,8 mg/prilla · 13,5 mg/g",tobak,General Slim White Portion Strong
general-voyage-brooklyn-white-portion,General,Voyage Brooklyn White Portion,Large,White,"7,7 mg/prilla · 8,5 mg/g",tobak,General Voyage Brooklyn White Portion
general-voyage-cape-town-white-portion-strong,General,Voyage Cape Town White Portion Strong,Large,White,"12,2 mg/prilla · 13,5 mg/g",tobak,General Voyage Cape Town White Portion Strong
general-voyage-sicily-white-portion,General,Voyage Sicily White Portion,Large,White,"7,7 mg/prilla · 8,5 mg/g",tobak,General Voyage Sicily White Portion
general-white-portion,General,White Portion,Large,White,"7,2 mg/prilla · 8 mg/g",tobak,General White Portion
general-white-portion-strong,General,White Portion Strong,Large,White,"10,8 mg/prilla · 12 mg/g",tobak,General White Portion Strong
granit-original-portion,Granit,Original Portion,Large,Original,"7,7 mg/prilla · 9 mg/g",tobak,Granit Original Portion
granit-original-white-portion,Granit,Original White Portion,Large,White,8 mg/prilla · 10 mg/g,tobak,Granit Original White Portion
granit-stark-white-portion,Granit,Stark White Portion,Large,White,"12,8 mg/prilla · 16 mg/g",tobak,Granit Stark White Portion
grov-extra-stark-portion,Grov,Extra Stark Portion,Large,Original,15 mg/prilla · 15 mg/g,tobak,Grov Extra Stark Portion
grov-portion,Grov,Portion,Large,Original,"8,5 mg/prilla · 8,5 mg/g",tobak,Grov Portion
grov-white-portion,Grov,White Portion,Large,White,"7,2 mg/prilla · 8 mg/g",tobak,Grov White Portion
goteborgs-rape-andra-langgatan-ltd,Göteborgs Rapé,Andra Långgatan LTD,Large,White,"8,1 mg/prilla · 9 mg/g",tobak,Göteborgs Rapé Andra Långgatan LTD
goteborgs-rape-granskott-one,Göteborgs Rapé,Granskott One,Large,White,13 mg/prilla · 13 mg/g,tobak,Göteborgs Rapé Granskott One
goteborgs-rape-gullbergs-kaj-white-portion,Göteborgs Rapé,Gullbergs Kaj White Portion,Large,White,"7,2 mg/prilla · 8 mg/g",tobak,Göteborgs Rapé Gullbergs Kaj White Portion
goteborgs-rape-hjortron-white-portion,Göteborgs Rapé,Hjortron White Portion,Large,White,"7,2 mg/prilla · 8 mg/g",tobak,Göteborgs Rapé Hjortron White Portion
goteborgs-rape-lingon-white-portion,Göteborgs Rapé,Lingon White Portion,Large,White,"7,2 mg/prilla · 8 mg/g",tobak,Göteborgs Rapé Lingon White Portion
goteborgs-rape-ltd-botaniska,Göteborgs Rapé,LTD Botaniska,Large,White,"7,2 mg/prilla · 8 mg/g",tobak,Göteborgs Rapé LTD Botaniska
goteborgs-rape-masthugget-vit-portion,Göteborgs Rapé,Masthugget Vit Portion,Large,White,"7,2 mg/prilla · 8 mg/g",tobak,Göteborgs Rapé Masthugget Vit Portion
goteborgs-rape-mini-white-portion,Göteborgs Rapé,Mini White Portion,Mini,White,4 mg/prilla · 8 mg/g,tobak,Göteborgs Rapé Mini White Portion
goteborgs-rape-one-vit-portion,Göteborgs Rapé,One Vit Portion,Large,White,13 mg/prilla · 13 mg/g,tobak,Göteborgs Rapé One Vit Portion
goteborgs-rape-portion,Göteborgs Rapé,Portion,Large,Original,10 mg/prilla · 10 mg/g,tobak,Göteborgs Rapé Portion
goteborgs-rape-slim-white,Göteborgs Rapé,Slim White,Slim,White,"6,8 mg/prilla · 8,5 mg/g",tobak,Göteborgs Rapé Slim White
goteborgs-rape-slim-white-portion-stark,Göteborgs Rapé,Slim White Portion Stark,Slim,White,"10,8 mg/prilla · 13,5 mg/g",tobak,Göteborgs Rapé Slim White Portion Stark
goteborgs-rape-stark-vit-portion,Göteborgs Rapé,Stark Vit Portion,Large,White,"10,8 mg/prilla · 12 mg/g",tobak,Göteborgs Rapé Stark Vit Portion
goteborgs-rape-vilda-bar-one,Göteborgs Rapé,Vilda Bär One,Large,White,13 mg/prilla · 13 mg/g,tobak,Göteborgs Rapé Vilda Bär One
goteborgs-rape-white-portion,Göteborgs Rapé,White Portion,Large,White,"7,2 mg/prilla · 8 mg/g",tobak,Göteborgs Rapé White Portion
kaliber-original-portion,Kaliber,Original Portion,Large,Original,"7,7 mg/prilla · 8,5 mg/g",tobak,Kaliber Original Portion
kaliber-plus-portion,Kaliber,Plus Portion,Large,Original,"9,9 mg/prilla · 11 mg/g",tobak,Kaliber Plus Portion
kaliber-plus-stark-white-portion,Kaliber,Plus Stark White Portion,Large,White,"11,7 mg/prilla · 13 mg/g",tobak,Kaliber Plus Stark White Portion
kaliber-salmiak-vit-portion,Kaliber,Salmiak Vit Portion,Large,White,"6,4 mg/prilla · 8 mg/g",tobak,Kaliber Salmiak Vit Portion
kaliber-white-portion,Kaliber,White Portion,Large,White,"6,4 mg/prilla · 8 mg/g",tobak,Kaliber White Portion
kapten-lakrits-vit-portion,Kapten,Lakrits Vit Portion,Large,White,"11,3 mg/prilla · 12,5 mg/g",tobak,Kapten Lakrits Vit Portion
kapten-mini-lakrits-vit-portion,Kapten,Mini Lakrits Vit Portion,Mini,White,"6,1 mg/prilla · 12,1 mg/g",tobak,Kapten Mini Lakrits Vit Portion
kapten-mini-vit-portion,Kapten,Mini Vit Portion,Mini,White,"6,1 mg/prilla · 12,1 mg/g",tobak,Kapten Mini Vit Portion
kapten-mint-vit-portion,Kapten,Mint Vit Portion,Large,White,"11,3 mg/prilla · 12,5 mg/g",tobak,Kapten Mint Vit Portion
kapten-mint-x-stark-vit-portion,Kapten,Mint X-Stark Vit Portion,Large,White,"16,7 mg/prilla · 18,6 mg/g",tobak,Kapten Mint X-Stark Vit Portion
kapten-original-portion,Kapten,Original Portion,Large,Original,"10,2 mg/prilla · 11,3 mg/g",tobak,Kapten Original Portion
kapten-original-stark-portion,Kapten,Original Stark Portion,Large,Original,"12,1 mg/prilla · 13,4 mg/g",tobak,Kapten Original Stark Portion
kapten-salmiak-x-stark-vit-portion,Kapten,Salmiak X-Stark Vit Portion,Large,White,"16,7 mg/prilla · 18,6 mg/g",tobak,Kapten Salmiak X-Stark Vit Portion
kapten-vit-portion,Kapten,Vit Portion,Large,White,"11,3 mg/prilla · 12,5 mg/g",tobak,Kapten Vit Portion
kapten-vit-stark-portion,Kapten,Vit Stark Portion,Large,White,"13,1 mg/prilla · 14,6 mg/g",tobak,Kapten Vit Stark Portion
kapten-vit-x-stark-portion,Kapten,Vit X-Stark Portion,Large,White,"16,7 mg/prilla · 18,6 mg/g",tobak,Kapten Vit X-Stark Portion
knox-extra-stark-portion,Knox,Extra Stark Portion,Large,Original,"17,1 mg/prilla · 19 mg/g",tobak,Knox Extra Stark Portion
knox-extra-stark-white-portion,Knox,Extra Stark White Portion,Large,White,"15,2 mg/prilla · 19 mg/g",tobak,Knox Extra Stark White Portion
knox-karaktar-blue-stark-white-portion,Knox,Karaktär Blue Stark White Portion,Large,White,"12,2 mg/prilla · 14 mg/g",tobak,Knox Karaktär Blue Stark White Portion
knox-karaktar-blue-white-portion,Knox,Karaktär Blue White Portion,Large,White,"10,5 mg/prilla · 12 mg/g",tobak,Knox Karaktär Blue White Portion
knox-karaktar-green-white-portion,Knox,Karaktär Green White Portion,Large,White,"10,5 mg/prilla · 12 mg/g",tobak,Knox Karaktär Green White Portion
knox-karaktar-purple-white-portion,Knox,Karaktär Purple White Portion,Large,White,"10,5 mg/prilla · 12 mg/g",tobak,Knox Karaktär Purple White Portion
knox-karaktar-red-white-portion,Knox,Karaktär Red White Portion,Large,White,"10,5 mg/prilla · 12 mg/g",tobak,Knox Karaktär Red White Portion
knox-karaktar-yellow-white-portion,Knox,Karaktär Yellow White Portion,Large,White,"10,4 mg/prilla · 13 mg/g",tobak,Knox Karaktär Yellow White Portion
knox-portion,Knox,Portion,Large,Original,"7,2 mg/prilla · 8 mg/g",tobak,Knox Portion
knox-stark-portion,Knox,Stark Portion,Large,Original,"14,4 mg/prilla · 16 mg/g",tobak,Knox Stark Portion
knox-stark-white-portion,Knox,Stark White Portion,Large,White,"12,8 mg/prilla · 16 mg/g",tobak,Knox Stark White Portion
knox-white-portion,Knox,White Portion,Large,White,"10,4 mg/prilla · 13 mg/g",tobak,Knox White Portion
kronan-portion,Kronan,Portion,Large,Original,"8,3 mg/prilla · 8,5 mg/g",tobak,Kronan Portion
kronan-stark-portion,Kronan,Stark Portion,Large,Original,"14,7 mg/prilla · 15 mg/g",tobak,Kronan Stark Portion
kronan-stark-vit-portion,Kronan,Stark Vit Portion,Large,White,"10,5 mg/prilla · 12 mg/g",tobak,Kronan Stark Vit Portion
kronan-vit-portion,Kronan,Vit Portion,Large,White,"7,9 mg/prilla · 9 mg/g",tobak,Kronan Vit Portion
kurbits-morgondagg-white-portion,Kurbits,Morgondagg White Portion,Large,White,"14,4 mg/prilla · 16 mg/g",tobak,Kurbits Morgondagg White Portion
ld-30-original-portionssnus,LD,30 Original Portionssnus,Large,Original,9 mg/prilla · 10 mg/g,tobak,LD 30 Original Portionssnus
ld-30-white-portion,LD,30 White Portion,Large,White,8 mg/prilla · 10 mg/g,tobak,LD 30 White Portion
ld-original-portionssnus,LD,Original Portionssnus,Large,Original,9 mg/prilla · 10 mg/g,tobak,LD Original Portionssnus
ld-original-stark-portionssnus,LD,Original Stark Portionssnus,Large,Original,"12,6 mg/prilla · 14 mg/g",tobak,LD Original Stark Portionssnus
ld-salmiak-portionssnus,LD,Salmiak Portionssnus,Large,Original,9 mg/prilla · 10 mg/g,tobak,LD Salmiak Portionssnus
ld-salmiak-stark-portionssnus,LD,Salmiak Stark Portionssnus,Large,Original,"12,6 mg/prilla · 14 mg/g",tobak,LD Salmiak Stark Portionssnus
ld-salmiak-white-portion,LD,Salmiak White Portion,Large,White,8 mg/prilla · 10 mg/g,tobak,LD Salmiak White Portion
ld-signum-bergamott-vit-stark-portionssnus,LD,Signum Bergamott Vit Stark Portionssnus,Large,White,"12,6 mg/prilla · 14 mg/g",tobak,LD Signum Bergamott Vit Stark Portionssnus
ld-signum-matcha-vit,LD,Signum Matcha Vit,Large,Original,8 mg/prilla · 10 mg/g,tobak,LD Signum Matcha Vit
ld-signum-ume,LD,Signum Ume,Large,White,8 mg/prilla · 10 mg/g,tobak,LD Signum Ume
ld-signum-vit,LD,Signum Vit,Large,Original,9 mg/prilla · 10 mg/g,tobak,LD Signum Vit
ld-stark-white-portion,LD,Stark White Portion,Large,White,"11,2 mg/prilla · 14 mg/g",tobak,LD Stark White Portion
ld-whiskey-portionssnus,LD,Whiskey Portionssnus,Large,Original,9 mg/prilla · 10 mg/g,tobak,LD Whiskey Portionssnus
ld-white-portion,LD,White Portion,Large,White,8 mg/prilla · 10 mg/g,tobak,LD White Portion
lundgrens-aftonglod,Lundgrens,Aftonglöd,Large,White,8 mg/prilla · 10 mg/g,tobak,Lundgrens Aftonglöd
lundgrens-aftonglod-original-portion,Lundgrens,Aftonglöd Original Portion,Large,Original,"8 mg/prilla · 9,4 mg/g",tobak,Lundgrens Aftonglöd Original Portion
lundgrens-aftonglod-stark,Lundgrens,Aftonglöd Stark,Large,White,"12,8 mg/prilla · 16 mg/g",tobak,Lundgrens Aftonglöd Stark
lundgrens-becksvart,Lundgrens,Becksvart,Large,White,8 mg/prilla · 10 mg/g,tobak,Lundgrens Becksvart
lundgrens-fjallen-white-portion,Lundgrens,Fjällen White Portion,Large,White,8 mg/prilla · 10 mg/g,tobak,Lundgrens Fjällen White Portion
lundgrens-glasrike-limited-edition-2025,Lundgrens,Glasrike Limited Edition 2025,Large,White,8 mg/prilla · 10 mg/g,tobak,Lundgrens Glasrike Limited Edition 2025
lundgrens-lagereld-white-portion,Lundgrens,Lägereld White Portion,Large,White,8 mg/prilla · 10 mg/g,tobak,Lundgrens Lägereld White Portion
lundgrens-norrland-stark-white-portion,Lundgrens,Norrland Stark White Portion,Large,White,"15,1 mg/prilla · 17,3 mg/g",tobak,Lundgrens Norrland Stark White Portion
lundgrens-norrland-white-portion,Lundgrens,Norrland White Portion,Large,White,"7,3 mg/prilla · 10 mg/g",tobak,Lundgrens Norrland White Portion
lundgrens-original-portion,Lundgrens,Original Portion,Large,Original,"7,7 mg/prilla · 9 mg/g",tobak,Lundgrens Original Portion
lundgrens-skargarden-white-portion,Lundgrens,Skärgården White Portion,Large,White,8 mg/prilla · 10 mg/g,tobak,Lundgrens Skärgården White Portion
lundgrens-skane-slim-white-portion,Lundgrens,Skåne Slim White Portion,Slim,White,7 mg/prilla · 10 mg/g,tobak,Lundgrens Skåne Slim White Portion
lundgrens-skane-stark-vit,Lundgrens,Skåne Stark Vit,Large,White,"15,1 mg/prilla · 17,3 mg/g",tobak,Lundgrens Skåne Stark Vit
lundgrens-skane-white-portion,Lundgrens,Skåne White Portion,Large,White,8 mg/prilla · 10 mg/g,tobak,Lundgrens Skåne White Portion
lundgrens-vit-portion,Lundgrens,Vit Portion,Large,White,8 mg/prilla · 10 mg/g,tobak,Lundgrens Vit Portion
lundgrens-vit-portion-stark,Lundgrens,Vit Portion Stark,Large,White,"12,6 mg/prilla · 16 mg/g",tobak,Lundgrens Vit Portion Stark
lundgrens-vastkusten-white-portion,Lundgrens,Västkusten White Portion,Large,White,8 mg/prilla · 10 mg/g,tobak,Lundgrens Västkusten White Portion
nick-johnny-americana-extra-strong-portion,Nick & Johnny,Americana Extra Strong Portion,Large,Original,"16,5 mg/prilla · 15 mg/g",tobak,Nick & Johnny Americana Extra Strong Portion
nick-johnny-crushed-ice-extra-strong-portion,Nick & Johnny,Crushed Ice Extra Strong Portion,Large,Original,"16,5 mg/prilla · 15 mg/g",tobak,Nick & Johnny Crushed Ice Extra Strong Portion
nick-johnny-crushed-ice-extra-strong-white,Nick & Johnny,Crushed Ice Extra Strong White,Large,White,12 mg/prilla · 12 mg/g,tobak,Nick & Johnny Crushed Ice Extra Strong White
nick-johnny-green-ice-stark-slim-white,Nick & Johnny,Green Ice Stark Slim White,Slim,White,"11,2 mg/prilla · 14 mg/g",tobak,Nick & Johnny Green Ice Stark Slim White
nick-johnny-red-hot-portion-extra-strong,Nick & Johnny,Red Hot Portion Extra Strong,Large,Original,"16,5 mg/prilla · 15 mg/g",tobak,Nick & Johnny Red Hot Portion Extra Strong
offroad-x-white-dry-portion,Offroad,X White Dry Portion,Large,White,"18,2 mg/prilla · 26 mg/g",tobak,Offroad X White Dry Portion
skruf-fresh-no-15-power-mint,Skruf,Fresh No.15 Power Mint,Slim,Original,"15,9 mg/prilla · 23 mg/g",tobak,Skruf Fresh No.15 Power Mint
skruf-no-02-fresh-slim-white-portion,Skruf,No. 02 Fresh Slim White Portion,Slim,White,"9,7 mg/prilla · 14 mg/g",tobak,Skruf No. 02 Fresh Slim White Portion
skruf-no-04-fresh-stark-slim-white-portion,Skruf,No. 04 Fresh Stark Slim White Portion,Slim,White,"14,5 mg/prilla · 21 mg/g",tobak,Skruf No. 04 Fresh Stark Slim White Portion
skruf-no-05-fresh-extra-stark-slim-white-portion,Skruf,No. 05 Fresh Extra Stark Slim White Portion,Slim,White,"16,6 mg/prilla · 24 mg/g",tobak,Skruf No. 05 Fresh Extra Stark Slim White Portion
skruf-no-08-nordic-liquorice-slim-white-portion,Skruf,No. 08 Nordic Liquorice Slim White Portion,Slim,White,"9,7 mg/prilla · 14 mg/g",tobak,Skruf No. 08 Nordic Liquorice Slim White Portion
skruf-no-10-fresh-superslim-white-portion,Skruf,No. 10 Fresh Superslim White Portion,Superslim,White,"4,4 mg/prilla · 8 mg/g",tobak,Skruf No. 10 Fresh Superslim White Portion
skruf-no-19-tranbar-white-portion,Skruf,No. 19 Tranbär White Portion,Large,White,"10,8 mg/prilla · 12 mg/g",tobak,Skruf No. 19 Tranbär White Portion
skruf-no-22-original-white-portion,Skruf,No. 22 Original White Portion,Large,White,"10,8 mg/prilla · 12 mg/g",tobak,Skruf No. 22 Original White Portion
skruf-no-23-stark-white-portion,Skruf,No. 23 Stark White Portion,Large,White,"12,6 mg/prilla · 14 mg/g",tobak,Skruf No. 23 Stark White Portion
skruf-no-24-extra-stark-white-portion,Skruf,No. 24 Extra Stark White Portion,Large,White,"15,3 mg/prilla · 17 mg/g",tobak,Skruf No. 24 Extra Stark White Portion
skruf-no-25-original-slim-white-portion,Skruf,No. 25 Original Slim White Portion,Slim,White,"10,4 mg/prilla · 15 mg/g",tobak,Skruf No. 25 Original Slim White Portion
skruf-no-26-original-stark-slim-white-portion,Skruf,No. 26 Original Stark Slim White Portion,Slim,White,"11,8 mg/prilla · 17 mg/g",tobak,Skruf No. 26 Original Stark Slim White Portion
skruf-no-27-original-portion,Skruf,No. 27 Original Portion,Large,Original,"11,7 mg/prilla · 13 mg/g",tobak,Skruf No. 27 Original Portion
skruf-no-28-stark-portion,Skruf,No. 28 Stark Portion,Large,Original,"14,4 mg/prilla · 16 mg/g",tobak,Skruf No. 28 Stark Portion
skruf-no-29-extra-stark-portion,Skruf,No. 29 Extra Stark Portion,Large,Original,"17,1 mg/prilla · 19 mg/g",tobak,Skruf No. 29 Extra Stark Portion
smalands-brukssnus-portion,Smålands Brukssnus,Portion,Large,Original,"9,9 mg/prilla · 13 mg/g",tobak,Smålands Brukssnus Portion
smalands-brukssnus-white-portion,Smålands Brukssnus,White Portion,Large,White,"8,4 mg/prilla · 14 mg/g",tobak,Smålands Brukssnus White Portion
soldat-extreme-extra-stark-white-portion,Soldat,Extreme Extra Stark White Portion,Large,White,"27,2 mg/prilla · 34 mg/g",tobak,Soldat Extreme Extra Stark White Portion
soldat-stark-original-white-portion,Soldat,Stark Original White Portion,Large,White,"11,2 mg/prilla · 14 mg/g",tobak,Soldat Stark Original White Portion
soldat-vinter-extra-stark-white-portion,Soldat,Vinter Extra Stark White Portion,Large,White,"14,4 mg/prilla · 16 mg/g",tobak,Soldat Vinter Extra Stark White Portion
the-lab-02-strong-original-slim,The Lab,02 Strong Original Slim,Slim,Original,"13,5 mg/prilla · 15 mg/g",tobak,The Lab 02 Strong Original Slim
the-lab-05-strong-white-slim,The Lab,05 Strong White Slim,Slim,White,"12,6 mg/prilla · 14 mg/g",tobak,The Lab 05 Strong White Slim
the-lab-06-extra-strong-original-slim,The Lab,06 Extra Strong Original Slim,Slim,Original,18 mg/prilla · 20 mg/g,tobak,The Lab 06 Extra Strong Original Slim
the-lab-07-extra-strong-white-slim,The Lab,07 Extra Strong White Slim,Slim,White,"16,2 mg/prilla · 18 mg/g",tobak,The Lab 07 Extra Strong White Slim
the-lab-12-slim-white-portion,The Lab,12 Slim White Portion,Slim,White,"8 mg/prilla · 11,5 mg/g",tobak,The Lab 12 Slim White Portion
tre-ankare-white-portion,Tre Ankare,White Portion,Large,White,"7,2 mg/prilla · 8 mg/g",tobak,Tre Ankare White Portion
vargarda-bar-stark,Vårgårda,Bär Stark,Large,White,14 mg/prilla · 14 mg/g,tobak,Vårgårda Bär Stark
vargarda-bar-white-portion,Vårgårda,Bär White Portion,Large,White,10 mg/prilla · 10 mg/g,tobak,Vårgårda Bär White Portion
vargarda-barstig,Vårgårda,Bärstig,Large,White,10 mg/prilla · 10 mg/g,tobak,Vårgårda Bärstig
vargarda-gryning,Vårgårda,Gryning,Large,White,10 mg/prilla · 10 mg/g,tobak,Vårgårda Gryning
vargarda-gryning-limited-edition,Vårgårda,Gryning Limited Edition,Large,White,10 mg/prilla · 10 mg/g,tobak,Vårgårda Gryning Limited Edition
vargarda-rustik,Vårgårda,Rustik,Large,White,"7,2 mg/prilla",tobak,Vårgårda Rustik
vargarda-skog-original-portion,Vårgårda,Skog Original Portion,Large,Original,10 mg/prilla · 10 mg/g,tobak,Vårgårda Skog Original Portion
vargarda-skog-slim,Vårgårda,Skog Slim,Slim,White,7 mg/prilla · 10 mg/g,tobak,Vårgårda Skog Slim
vargarda-skog-stark,Vårgårda,Skog Stark,Large,White,14 mg/prilla · 14 mg/g,tobak,Vårgårda Skog Stark
vargarda-skog-white-portion,Vårgårda,Skog White Portion,Large,White,10 mg/prilla · 10 mg/g,tobak,Vårgårda Skog White Portion
vargarda-snuskollektion-2025,Vårgårda,Snuskollektion 2025,Large,White,10 mg/prilla · 10 mg/g,tobak,Vårgårda Snuskollektion 2025
77-nicotine-pouches-77-apple-mint,77 Nicotine Pouches,77 Apple & Mint,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Apple & Mint
77-nicotine-pouches-77-black-currant,77 Nicotine Pouches,77 Black Currant,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Black Currant
77-nicotine-pouches-77-bubbly-fizz,77 Nicotine Pouches,77 Bubbly Fizz,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Bubbly Fizz
77-nicotine-pouches-77-classic-tobacco,77 Nicotine Pouches,77 Classic Tobacco,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Classic Tobacco
77-nicotine-pouches-77-cola-cherry,77 Nicotine Pouches,77 Cola & Cherry,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Cola & Cherry
77-nicotine-pouches-77-cola-vanilla,77 Nicotine Pouches,77 Cola & Vanilla,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Cola & Vanilla
77-nicotine-pouches-77-cola-ice,77 Nicotine Pouches,77 Cola Ice,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Cola Ice
77-nicotine-pouches-77-forest-fruits,77 Nicotine Pouches,77 Forest Fruits,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Forest Fruits
77-nicotine-pouches-77-freeze-mint,77 Nicotine Pouches,77 Freeze Mint,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Freeze Mint
77-nicotine-pouches-77-fresh-mint,77 Nicotine Pouches,77 Fresh Mint,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Fresh Mint
77-nicotine-pouches-77-ghost-mini-cola-ice-5,77 Nicotine Pouches,77 Ghost Mini Cola Ice 5,Mini,White,20 mg/prilla · 40 mg/g,vit,77 Nicotine Pouches 77 Ghost Mini Cola Ice 5
77-nicotine-pouches-77-ghost-mini-original-5,77 Nicotine Pouches,77 Ghost Mini Original 5,Mini,White,20 mg/prilla · 40 mg/g,vit,77 Nicotine Pouches 77 Ghost Mini Original 5
77-nicotine-pouches-77-ice-mint,77 Nicotine Pouches,77 Ice Mint,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Ice Mint
77-nicotine-pouches-77-peach-mint,77 Nicotine Pouches,77 Peach & Mint,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Peach & Mint
77-nicotine-pouches-77-peppermint,77 Nicotine Pouches,77 Peppermint,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Peppermint
77-nicotine-pouches-77-raspberry,77 Nicotine Pouches,77 Raspberry,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Raspberry
77-nicotine-pouches-77-raspberry-vanilla,77 Nicotine Pouches,77 Raspberry Vanilla,Slim,White,"10,4 mg/prilla · 16 mg/g",vit,77 Nicotine Pouches 77 Raspberry Vanilla
